municipality,iata_code,,name,iso_region
Brookings,BKX,,Brookings Regional Airport,US-SD
Bluefield,BLF,,Mercer County Airport,US-WV
Blythe,BLH,,Blythe Airport,US-CA
Bellingham,BLI,,Bellingham International Airport,US-WA
Belmar/Farmingdale,BLM,,Monmouth Executive Airport,US-NJ
Emigrant Gap,BLU,,Blue Canyon Nyack Airport,US-CA
Belleville,BLV,,Scott AFB/Midamerica Airport,US-IL
,KBM,,Kabwum,PG-MPL
Brigham City,BMC,,Brigham City Regional Airport,US-UT
Bloomington,BMG,,Monroe County Airport,US-IN
Bloomington/Normal,BMI,,Central Illinois Regional Airport at Bloomington-Normal,US-IL
Berlin,BML,,Berlin Regional Airport,US-NH
Beaumont,BMT,,Beaumont Municipal Airport,US-TX
Nashville,BNA,,Nashville International Airport,US-TN
Banning,BNG,,Banning Municipal Airport,US-CA
Barnwell,BNL,,Barnwell Regional Airport,US-SC
Burns,BNO,,Burns Municipal Airport,US-OR
Boone,BNW,,Boone Municipal Airport,US-IA
Boise,BOI,,Boise Air Terminal/Gowen Field,US-ID
Boston,BOS,,Logan International Airport,US-MA
Bartow,BOW,,Bartow Executive Airport,US-FL
Big Spring,HCA,,Big Spring Mc Mahon-Wrinkle Airport,US-TX
Big Piney,BPI,,Miley Memorial Field,US-WY
Mountain Home,WMH,,Ozark Regional Airport,US-AR
Beaumont/Port Arthur,BPT,,Jack Brooks Regional Airport,US-TX
Brunswick,BQK,,Brunswick Golden Isles Airport,US-GA
Brainerd,BRD,,Brainerd Lakes Regional Airport,US-MN
Burlington,BRL,,Southeast Iowa Regional Airport,US-IA
Brownsville,BRO,,Brownsville South Padre Island International Airport,US-TX
Bardstown,BRY,,Samuels Field,US-KY
Kaben,KBT,,Kaben Airport,MH-MAL
Bountiful,BTF,,Skypark Airport,US-UT
Battle Creek,BTL,,Battle Creek Executive Airport at Kellogg Field,US-MI
Butte,BTM,,Bert Mooney Airport,US-MT
Britton,TTO,,Britton Municipal Airport,US-SD
Butler,BTP,,Pittsburgh/Butler Regional Airport,US-PA
Baton Rouge,BTR,,Baton Rouge Metropolitan Airport,US-LA
South Burlington,BTV,,Burlington International Airport,US-VT
Beatty,BTY,,Beatty Airport,US-NV
Burwell,BUB,,Cram Field,US-NE
Buffalo,BUF,,Buffalo Niagara International Airport,US-NY
Butler,BUM,,Butler Memorial Airport,US-MO
Burbank,BUR,,Hollywood Burbank Airport,US-CA
Beaver Falls,BFP,,Beaver County Airport,US-PA
Bartlesville,BVO,,Bartlesville Municipal Airport,US-OK
Burlington,MVW,,Skagit Regional Airport,US-WA
Batesville,BVX,,Batesville Regional Airport,US-AR
Beverly / Danvers,BVY,,Beverly Regional Airport,US-MA
Brawley,BWC,,Brawley Municipal Airport,US-CA
Brownwood,BWD,,Brownwood Regional Airport,US-TX
Bowling Green,BWG,,Bowling Green Warren County Regional Airport,US-KY
Baltimore,BWI,,Baltimore/Washington International Thurgood Marshall Airport,US-MD
Wahpeton,WAH,,Harry Stern Airport,US-ND
Bowman,BWM,,Bowman Regional Airport,US-ND
Bogalusa,BXA,,George R Carr Memorial Air Field,US-LA
Buckeye,BXK,,Buckeye Municipal Airport,US-AZ
Buffalo,BYG,,Johnson County Airport,US-WY
Blytheville,BYH,,Arkansas International Airport,US-AR
Burley,BYI,,Burley Municipal Airport,US-ID
Fort Irwin/Barstow,BYS,,Bicycle Lake Army Air Field,US-CA
Bay City,BBC,,Bay City Regional Airport,US-TX
Bozeman,BZN,,Bozeman Yellowstone International Airport,US-MT
Lake Geneva,XES,,Grand Geneva Resort Airport,US-WI
Plymouth,PLY,,Plymouth Municipal Airport,US-IN
Coalinga,CLG,,New Coalinga Municipal Airport,US-CA
Cadillac,CAD,,Wexford County Airport,US-MI
Columbia,CAE,,Columbia Metropolitan Airport,US-SC
Craig,CIG,,Craig Moffat Airport,US-CO
Akron,CAK,,Akron Canton Regional Airport,US-OH
Clayton,CAO,,Clayton Municipal Airpark,US-NM
Caribou,CAR,,Caribou Municipal Airport,US-ME
Wiley Ford,CBE,,Greater Cumberland Regional Airport,US-WV
Council Bluffs,CBF,,Council Bluffs Municipal Airport,US-IA
Colby,CBK,,Shalz Field,US-KS
Columbus,CBM,,Columbus Air Force Base,US-MS
Coffman Cove,KCC,,Coffman Cove Seaplane Base,US-AK
Upland,CCB,,Cable Airport,US-CA
Concord,CCR,,Buchanan Field,US-CA
Charles City,CCY,,Northeast Iowa Regional Airport,US-IA
Lyndonville,LLX,,Caledonia County Airport,US-VT
Cedar City,CDC,,Cedar City Regional Airport,US-UT
Camden,CDH,,Harrell Field,US-AR
Camden,CDN,,Woodward Field,US-SC
Chadron,CDR,,Chadron Municipal Airport,US-NE
Childress,CDS,,Childress Municipal Airport,US-TX
Caldwell,CDW,,Essex County Airport,US-NJ
Wichita,CEA,,Cessna Aircraft Field,US-KS
Crescent City,CEC,,Jack Mc Namara Field Airport,US-CA
Chicopee,CEF,,Westover Metropolitan Airport / Westover Air Reserve Base,US-MA
Clemson,CEU,,Oconee County Regional Airport,US-SC
Connersville,CEV,,Mettel Field,US-IN
Crestview,CEW,,Bob Sikes Airport,US-FL
Murray,CEY,,Murray-Calloway County Airport Kyle-Oakley Field,US-KY
Cortez,CEZ,,Cortez Municipal Airport,US-CO
Bryan,CFD,,Coulter Field,US-TX
Caro,TZC,,Tuscola Area Airport,US-MI
Clifton,CFT,,Greenlee County Airport,US-AZ
Coffeyville,CFV,,Coffeyville Municipal Airport,US-KS
Cambridge,CGE,,Cambridge Dorchester Airport,US-MD
Cleveland,CGF,,Cuyahoga County Airport,US-OH
Cape Girardeau,CGI,,Cape Girardeau Regional Airport,US-MO
College Park,CGS,,College Park Airport,US-MD
Casa Grande,CGZ,,Casa Grande Municipal Airport,US-AZ
Chattanooga,CHA,,Chattanooga Metropolitan Airport (Lovell Field),US-TN
Chickasha,CHK,,Chickasha Municipal Airport,US-OK
Charlottesville,CHO,,Charlottesville Albemarle Airport,US-VA
Charleston,CHS,,Charleston International Airport,US-SC
Chico,CIC,,Chico Regional Airport,US-CA
Cedar Rapids,CID,,The Eastern Iowa Airport,US-IA
Carroll,CIN,,Arthur N Neu Airport,US-IA
Cairo,CIR,,Cairo Regional Airport,US-IL
Kincheloe,CIU,,Chippewa County International Airport,US-MI
Cherokee,CKA,,Kegelman AF Aux Field,US-OK
Bridgeport,CKB,,North Central West Virginia Airport,US-WV
Grand Marais,GRM,,Grand Marais Cook County Airport,US-MN
Clarksdale,CKM,,Fletcher Field,US-MS
Crookston,CKN,,Crookston Municipal Kirkwood Field,US-MN
Clarksville,CKV,,Clarksville–Montgomery County Regional Airport,US-TN
Chignik Flats,KCL,,Chignik Lagoon Airport,US-AK
Cleveland,CLE,,Cleveland Hopkins International Airport,US-OH
Clintonville,CLI,,Clintonville Municipal Airport,US-WI
Clinton,CLK,,Clinton Regional Airport,US-OK
College Station,CLL,,Easterwood Field,US-TX
Port Angeles,CLM,,William R Fairchild International Airport,US-WA
Calipatria,CLR,,Cliff Hatfield Memorial Airport,US-CA
Chehalis,CLS,,Chehalis Centralia Airport,US-WA
Charlotte,CLT,,Charlotte Douglas International Airport,US-NC
Clearwater,CLW,,Clearwater Air Park,US-FL
Columbus,CMH,,John Glenn Columbus International Airport,US-OH
Savoy,CMI,,University of Illinois Willard Airport,US-IL
Hancock,CMX,,Houghton County Memorial Airport,US-MI
Sparta,CMY,,Sparta Fort McCoy Airport,US-WI
Chernofski Harbor,KCN,,Chernofski Harbor Seaplane Base,US-AK
Claremont,CNH,,Claremont Municipal Airport,US-NH
Concordia,CNK,,Blosser Municipal Airport,US-KS
Carlsbad,CNM,,Cavern City Air Terminal,US-NM
Chino,CNO,,Chino Airport,US-CA
Chanute,CNU,,Chanute Martin Johnson Airport,US-KS
Waco,CNW,,TSTC Waco Airport,US-TX
Moab,CNY,,Canyonlands Regional Airport,US-UT
Cody,COD,,Yellowstone Regional Airport,US-WY
Coeur d'Alene,COE,,Coeur D'Alene Airport - Pappy Boyington Field,US-ID
Cocoa Beach,COF,,Patrick Space Force Base,US-FL
Merritt Island,COI,,Merritt Island Airport,US-FL
Coleman,COM,,Coleman Municipal Airport,US-TX
Concord,CON,,Concord Municipal Airport,US-NH
Colorado Springs,COS,,City of Colorado Springs Municipal Airport,US-CO
Cotulla,COT,,Cotulla-La Salle County Airport,US-TX
Columbia,COU,,Columbia Regional Airport,US-MO
Compton,CPM,,Compton Woodley Airport,US-CA
Casper,CPR,,Casper-Natrona County International Airport,US-WY
Cahokia/St Louis,CPS,,St Louis Downtown Airport,US-IL
Cheraw,HCW,,Cheraw Municipal Airport/Lynch Bellinger Field,US-SC
Colorado Creek,KCR,,Colorado Creek Airport,US-AK
North Myrtle Beach,CRE,,Grand Strand Airport,US-SC
Jacksonville,CRG,,Jacksonville Executive at Craig Airport,US-FL
Corcoran,CRO,,Corcoran Airport,US-CA
Corpus Christi,CRP,,Corpus Christi International Airport,US-TX
Carlsbad,CLD,,McClellan-Palomar Airport,US-CA
Corsicana,CRS,,C David Campbell Field Corsicana Municipal Airport,US-TX
Crossett,CRT,,Z M Jack Stell Field,US-AR
Charleston,CRW,,Yeager Airport,US-WV
Corinth,CRX,,Roscoe Turner Airport,US-MS
Columbus,CSG,,Columbus Metropolitan Airport,US-GA
Clinton,CSM,,Clinton Sherman Airport,US-OK
Creston,CSQ,,Creston Municipal Airport,US-IA
Crossville,CSV,,Crossville Memorial Airport Whitson Field,US-TN
Cut Bank,CTB,,Cut Bank International Airport,US-MT
Cross City,CTY,,Cross City Airport,US-FL
Clinton,CTZ,,Sampson County Airport,US-NC
Columbia,CUB,,Jim Hamilton L.B. Owens Airport,US-SC
Cushing,CUH,,Cushing Municipal Airport,US-OK
Cincinnati / Covington,CVG,,Cincinnati Northern Kentucky International Airport,US-KY
Ash Flat,CKK,,Sharp County Regional Airport,US-AR
Clovis,CVN,,Clovis Municipal Airport,US-NM
Corvallis,CVO,,Corvallis Municipal Airport,US-OR
Clovis,CVS,,Cannon Air Force Base,US-NM
Mosinee,CWA,,Central Wisconsin Airport,US-WI
Wichita Falls,KIP,,Kickapoo Downtown Airport,US-TX
Lake Charles,CWF,,Chennault International Airport,US-LA
Clinton,CWI,,Clinton Municipal Airport,US-IA
Calexico,CXL,,Calexico International Airport,US-CA
Houston,CXO,,Conroe-North Houston Regional Airport,US-TX
Carson City,CSN,,Carson Airport,US-NV
Harrisburg,HAR,,Capital City Airport,US-PA
Cheyenne,CYS,,Cheyenne Regional Jerry Olson Field,US-WY
Carrizo Springs,CZT,,Dimmit County Airport,US-TX
Tioga,VEX,,Tioga Municipal Airport,US-ND
Fort Belvoir,DAA,,Davison Army Air Field,US-VA
Daytona Beach,DAB,,Daytona Beach International Airport,US-FL
Daggett,DAG,,Barstow Daggett Airport,US-CA
Dallas,DAL,,Dallas Love Field,US-TX
Danville,DAN,,Danville Regional Airport,US-VA
Dayton,DAY,,James M Cox Dayton International Airport,US-OH
Dublin,DBN,,W H 'Bud' Barron Airport,US-GA
Dubuque,DBQ,,Dubuque Regional Airport,US-IA
Washington,DCA,,Ronald Reagan Washington National Airport,US-DC
Decatur,DCU,,Pryor Field Regional Airport,US-AL
Dodge City,DDC,,Dodge City Regional Airport,US-KS
Decatur,DEC,,Decatur Airport,US-IL
Decorah,DEH,,Decorah Municipal Airport,US-IA
Denver,DEN,,Denver International Airport,US-CO
Detroit,DET,,Coleman A. Young Municipal Airport,US-MI
Defiance,DFI,,Defiance Memorial Airport,US-OH
Dallas-Fort Worth,DFW,,Dallas Fort Worth International Airport,US-TX
Douglas,DGL,,Douglas Municipal Airport,US-AZ
Douglas,DGW,,Converse County Airport,US-WY
Dothan,DHN,,Dothan Regional Airport,US-AL
Dalhart,DHT,,Dalhart Municipal Airport,US-TX
Dickinson,DIK,,Dickinson Theodore Roosevelt Regional Airport,US-ND
Dunkirk,DKK,,Chautauqua County-Dunkirk Airport,US-NY
Dillon,DLL,,Dillon County Airport,US-SC
Del Rio,DLF,,Laughlin Air Force Base,US-TX
Duluth,DLH,,Duluth International Airport,US-MN
Dillon,DLN,,Dillon Airport,US-MT
Dallesport / The Dalles,DLS,,Columbia Gorge Regional Airport,US-OR
Tucson,DMA,,Davis Monthan Air Force Base,US-AZ
Deming,DMN,,Deming Municipal Airport,US-NM
Sedalia,DMO,,Sedalia Memorial Airport,US-MO
Augusta,DNL,,Daniel Field,US-GA
Dalton,DNN,,Dalton Municipal Airport,US-GA
Denison,DNS,,Denison Municipal Airport,US-IA
Danville,DNV,,Vermilion Regional Airport,US-IL
Dover,DOV,,Dover Air Force Base,US-DE
Kandep,KDP,,Kandep Airport,PG-EPW
Chicago/West Chicago,DPA,,Dupage Airport,US-IL
Dugway Proving Ground,DPG,,Michael AAF (Dugway Proving Ground) Airport,US-UT
Kamberatoro Mission,KDQ,,Kamberatoro Airport,PG-SAN
Mercury,DRA,,Desert Rock Airport,US-NV
DeRidder,DRI,,Beauregard Regional Airport,US-LA
Drummond Island,DRE,,Drummond Island Airport,US-MI
Durango,DRO,,Durango La Plata County Airport,US-CO
Del Rio,DRT,,Del Rio International Airport,US-TX
Kamaran Downs,KDS,,Kamaran Downs Airport,AU-QLD
Des Moines,DSM,,Des Moines International Airport,US-IA
Dansville,DSV,,Dansville Municipal Airport,US-NY
Delta,DTA,,Delta Municipal Airport,US-UT
Detroit Lakes,DTL,,Detroit Lakes Airport,US-MN
Shreveport,DTN,,Shreveport Downtown Airport,US-LA
Destin,DSI,,Destin Executive Airport,US-FL
Detroit,DTW,,Detroit Metropolitan Wayne County Airport,US-MI
Durant,DUA,,Durant Regional Airport - Eaker Field,US-OK
Duncan,DUC,,Halliburton Field,US-OK
Douglas Bisbee,DUG,,Bisbee Douglas International Airport,US-AZ
Dubois,DUJ,,DuBois Regional Airport,US-PA
Devils Lake,DVL,,Devils Lake Regional Airport,US-ND
Davenport,DVN,,Davenport Municipal Airport,US-IA
Novato,NOT,,Marin County Airport - Gnoss Field,US-CA
Slayton,NSL,,Slayton Municipal Airport,US-MN
Phoenix,DVT,,Phoenix Deer Valley Airport,US-AZ
Kandy,KDW,,Victoria Reservoir Seaplane Base,LK-2
Houston,DWH,,David Wayne Hooks Memorial Airport,US-TX
Danbury,DXR,,Danbury Municipal Airport,US-CT
Doylestown,DYL,,Doylestown Airport,US-PA
Abilene,DYS,,Dyess Air Force Base,US-TX
Kandy,KDZ,,Polgolla Reservoir Seaplane Base,LK-2
Lake Baringo,LBN,,Lake Baringo (Kampi Ya Samaki) Airport,KE-700
Vipingo Estate,VPG,,Vipingo Estate Airport,KE-300
Kichwa Tembo,KTJ,,Kichwa Tembo Airport,KE-700
,OSJ,,Ol Seki Airstrip,KE-700
,OLG,,Olare Orok Airfield,KE-700
Mara,HKR,,Mara North Conservancy Airstrip,KE-700
Maasai Mara,ANA,,Angama Airport,KE-700
Musiara,MDR,,Musiara Airstrip,KE-700
Olkiombo,OLX,,Olkiombo Airport,KE-700
Kimwarer,KRV,,Kerio Valley Airport,KE-700
Kiunga,KIU,,Kiunga Airport,KE-300
Liboi,LBK,,Liboi Airport,KE-500
Kalokol,LKU,,Lake Rudolf Airport,KE-700
Mumias,MUM,,Mumias Airport,KE-900
Monahans,MIF,,Roy Hurd Memorial Airport,US-TX
Crane,CCG,,Crane County Airport,US-TX
Espanola,ESO,,Ohkay Owingeh Airport,US-NM
Whiteriver,WTR,,Whiteriver Airport,US-AZ
Alpine,ALE,,Alpine Casparis Municipal Airport,US-TX
Bagdad,BGT,,Bagdad Airport,US-AZ
Wheatland,EAN,,Phifer Airfield,US-WY
Kearney,EAR,,Kearney Regional Airport,US-NE
Wenatchee,EAT,,Pangborn Memorial Airport,US-WA
Eau Claire,EAU,,Chippewa Valley Regional Airport,US-WI
Nanwalek,KEB,,Nanwalek Airport,US-AK
Webster City,EBS,,Webster City Municipal Airport,US-IA
Elizabeth City,ECG,,Elizabeth City Regional Airport & Coast Guard Air Station,US-NC
Panama City Beach,ECP,,Northwest Florida Beaches International Airport,US-FL
Newcastle,ECS,,Mondell Field,US-WY
Edenton,EDE,,Northeastern Regional Airport,US-NC
Enterprise,ETS,,Enterprise Municipal Airport,US-AL
Edwards,EDW,,Edwards Air Force Base,US-CA
Needles,EED,,Needles Airport,US-CA
Keene,EEN,,Dillant Hopkins Airport,US-NH
Houston,EFD,,Ellington Airport,US-TX
Newport,EFK,,Northeast Kingdom International Airport,US-VT
Jefferson,EFW,,Jefferson Municipal Airport,US-IA
Denglagu Mission,KEG,,Keglsugl Airport,PG-CPK
Eagle,EGE,,Eagle County Regional Airport,US-CO
Crestview,EGI,,Duke Field,US-FL
Eagle River,EGV,,Eagle River Union Airport,US-WI
Ekwok,KEK,,Ekwok Airport,US-AK
Eureka,EKA,,Murray Field,US-CA
Elkhart,EKI,,Elkhart Municipal Airport,US-IN
Elkins,EKN,,Elkins-Randolph County Regional Airport,US-WV
Elko,EKO,,Elko Regional Airport,US-NV
Elizabethtown,EKX,,Addington Field / Elizabethtown Regional Airport,US-KY
Eagle Lake,ELA,,Eagle Lake Airport,US-TX
El Dorado,ELD,,South Arkansas Regional Airport at Goodwin Field,US-AR
Elk City,ELK,,Elk City Regional Business Airport,US-OK
Elmira/Corning,ELM,,Elmira Corning Regional Airport,US-NY
Ellensburg,ELN,,Bowers Field,US-WA
Ely,LYU,,Ely Municipal Airport,US-MN
El Paso,ELP,,El Paso International Airport,US-TX
Ely,ELY,,Ely Airport Yelland Field,US-NV
Wellsville,ELZ,,Wellsville Municipal Airport - Tarantine Field,US-NY
Kemmerer,EMM,,Kemmerer Municipal Airport,US-WY
Emporia,EMP,,Emporia Municipal Airport,US-KS
El Monte,EMT,,San Gabriel Valley Airport,US-CA
Enid,END,,Vance Air Force Base,US-OK
Centralia,ENL,,Centralia Municipal Airport,US-IL
Wendover,ENV,,Wendover Airport,US-UT
Kenosha,ENW,,Kenosha Regional Airport,US-WI
Keokuk,EOK,,Keokuk Municipal Airport,US-IA
Neosho,EOS,,Neosho Hugh Robinson Airport,US-MO
Ephrata,EPH,,Ephrata Municipal Airport,US-WA
El Dorado,EDK,,Captain Jack Thomas El Dorado Airport,US-KS
Erie,ERI,,Erie International Tom Ridge Field,US-PA
Errol,ERR,,Errol Airport,US-NH
Kerrville,ERV,,Kerrville / Kerr County Airport at Louis Schreiner Field,US-TX
Escanaba,ESC,,Delta County Airport,US-MI
Alexandria,ESF,,Esler Army Airfield / Esler Regional Airport,US-LA
Easton,ESN,,Easton Airport / Newnam Field,US-MD
Estherville,EST,,Estherville Municipal Airport,US-IA
Easton,ESW,,Easton State Airport,US-WA
West Bend,ETB,,West Bend Municipal Airport,US-WI
Eastland,ETN,,Eastland Municipal Airport,US-TX
Eufaula,EUF,,Weedon Field,US-AL
Eugene,EUG,,Mahlon Sweet Field,US-OR
Eveleth,EVM,,Eveleth–Virginia Municipal Airport,US-MN
Evansville,EVV,,Evansville Regional Airport,US-IN
Evanston,EVW,,Evanston-Uinta County Airport-Burns Field,US-WY
New Bedford,EWB,,New Bedford Regional Airport,US-MA
Newton,EWK,,Newton City-County Airport,US-KS
New Bern,EWN,,Coastal Carolina Regional Airport,US-NC
Newark,EWR,,Newark Liberty International Airport,US-NJ
Kanabea,KEX,,Kanabea Airport,PG-GPK
Key West,EYW,,Key West International Airport,US-FL
Colombo,KEZ,,Kelani-Peliyagoda Seaplane Base,LK-1
Vernon,WIB,,Wilbarger County Airport,US-TX
Murrieta,RBK,,French Valley Airport,US-CA
Newport News (Fort Eustis),FAF,,Felker Army Air Field,US-VA
Farmington,FAM,,Farmington Regional Airport,US-MO
Fargo,FAR,,Hector International Airport,US-ND
Fresno,FAT,,Fresno Yosemite International Airport,US-CA
Fayetteville,FAY,,Fayetteville Regional Airport - Grannis Field,US-NC
Fort Bragg,FBG,,Simmons Army Air Field,US-NC
Faribault,FBL,,Faribault Municipal Airport-Liz Wall Strohfus Field,US-MN
Fort Bridger,FBR,,Fort Bridger Airport,US-WY
Fairbury,FBY,,Fairbury Municipal Airport,US-NE
Fresno,FCH,,Fresno Chandler Executive Airport,US-CA
Minneapolis,FCM,,Flying Cloud Airport,US-MN
Fort Carson,FCS,,Butts AAF (Fort Carson) Air Field,US-CO
Forrest City,FCY,,Forrest City Municipal Airport,US-AR
Frederick,FDK,,Frederick Municipal Airport,US-MD
Frederick,FDR,,Frederick Regional Airport,US-OK
Findlay,FDY,,Findlay Airport,US-OH
Freeport,FEP,,Albertus Airport,US-IL
Fremont,FET,,Fremont Municipal Airport,US-NE
Kill Devil Hills,FFA,,First Flight Airport,US-NC
Fairfield,FFL,,Fairfield Municipal Airport,US-IA
Fergus Falls,FFM,,Fergus Falls Municipal Airport - Einar Mickelson Field,US-MN
Dayton,FFO,,Wright-Patterson Air Force Base,US-OH
Frankfort,FFT,,Capital City Airport,US-KY
Mesa,MSC,,Falcon Field,US-AZ
Friday Harbor,FRD,,Friday Harbor Airport,US-WA
Fort Huachuca / Sierra Vista,FHU,,Sierra Vista Municipal Airport / Libby Army Air Field,US-AZ
Franklin,FKL,,Venango Regional Airport,US-PA
Franklin,FKN,,Franklin Regional Airport,US-VA
Fond du Lac,FLD,,Fond du Lac County Airport,US-WI
Flagstaff,FLG,,Flagstaff Pulliam International Airport,US-AZ
Fort Lauderdale,FLL,,Fort Lauderdale Hollywood International Airport,US-FL
Florence,FLO,,Florence Regional Airport,US-SC
Flippin,FLP,,Marion County Regional Airport,US-AR
Fort Leavenworth,FLV,,Sherman Army Air Field,US-KS
Fallon,FLX,,Fallon Municipal Airport,US-NV
Fort Meade(Odenton),FME,,Tipton Airport,US-MD
Falmouth,FMH,,Cape Cod Coast Guard Air Station,US-MA
Farmington,FMN,,Four Corners Regional Airport,US-NM
Fort Myers,FMY,,Page Field,US-FL
Loveland,FNL,,Northern Colorado Regional Airport,US-CO
Flint,FNT,,Bishop International Airport,US-MI
Fort Dodge,FOD,,Fort Dodge Regional Airport,US-IA
Topeka,FOE,,Topeka Regional Airport,US-KS
Westhampton Beach,FOK,,Francis S Gabreski Airport,US-NY
Fillmore,FIL,,Fillmore Municipal Airport,US-UT
Fort Pierce,FPR,,St Lucie County International Airport,US-FL
Farmingdale,FRG,,Republic Airport,US-NY
French Lick,FRH,,French Lick Municipal Airport,US-IN
Fort Riley (Junction City),FRI,,Marshall Army Air Field,US-KS
Fairmont,FRM,,Fairmont Municipal Airport,US-MN
Front Royal,FRR,,Front Royal Warren County Airport,US-VA
Sioux Falls,FSD,,Sioux Falls Regional Airport / Joe Foss Field,US-SD
Fort Sill,FSI,,Henry Post Army Air Field,US-OK
Fort Scott,FSK,,Fort Scott Municipal Airport,US-KS
Fort Smith,FSM,,Fort Smith Regional Airport,US-AR
Fort Stockton,FST,,Fort Stockton Pecos County Airport,US-TX
Fort Sumner,FSU,,Fort Sumner Municipal Airport,US-NM
Fort Madison,FMS,,Fort Madison Municipal Airport,US-IA
Fort Knox,FTK,,Godman Army Air Field,US-KY
Fort Worth,FTW,,Fort Worth Meacham International Airport,US-TX
Atlanta,FTY,,Fulton County Airport Brown Field,US-GA
Fullerton,FUL,,Fullerton Municipal Airport,US-CA
Frenchville,WFK,,Northern Aroostook Regional Airport,US-ME
Fort Wayne,FWA,,Fort Wayne International Airport,US-IN
Fort Lauderdale,FXE,,Fort Lauderdale Executive Airport,US-FL
Forest City,FXY,,Forest City Municipal Airport,US-IA
Fayetteville,FYM,,Fayetteville Municipal Airport,US-TN
Fayetteville,FYV,,Drake Field,US-AR
Gadsden,GAD,,Northeast Alabama Regional Airport,US-AL
Gage,GAG,,Gage Heibeck Airport,US-OK
Gaithersburg,GAI,,Montgomery County Airpark,US-MD
Great Bend,GBD,,Great Bend Municipal Airport,US-KS
Galesburg,GBG,,Galesburg Municipal Airport,US-IL
Great Barrington,GBR,,Walter J. Koladza Airport,US-MA
Gillette,GCC,,Northeast Wyoming Regional Airport,US-WY
John Day,JDA,,Grant County Regional Airport / Ogilvie Field,US-OR
Garden City,GCK,,Garden City Regional Airport,US-KS
Grand Canyon - Tusayan,GCN,,Grand Canyon National Park Airport,US-AZ
Greeneville,GCY,,Greeneville Municipal Airport,US-TN
Gardner,GDM,,Gardner Municipal Airport,US-MA
Glendive,GDV,,Dawson Community Airport,US-MT
Gladwin,GDW,,Gladwin Zettel Memorial Airport,US-MI
Georgetown,GED,,Delaware Coastal Airport,US-DE
Spokane,GEG,,Spokane International Airport,US-WA
Greybull,GEY,,South Big Horn County Airport,US-WY
Great Falls,GFA,,Malmstrom Air Force Base,US-MT
Grand Forks,GFK,,Grand Forks International Airport,US-ND
Glens Falls,GFL,,Floyd Bennett Memorial Airport,US-NY
Georgetown,GGE,,Georgetown County Airport,US-SC
Longview,GGG,,East Texas Regional Airport,US-TX
Glasgow,GGW,,Glasgow Valley County Airport Wokal Field,US-MT
Centerville,GHM,,Centerville Municipal Airport,US-TN
Winter Haven,GIF,,Winter Haven Regional Airport - Gilbert Field,US-FL
Grand Junction,GJT,,Grand Junction Regional Airport,US-CO
Meadville,MEJ,,Port Meadville Airport,US-PA
Sevierville,GKT,,Gatlinburg-Pigeon Forge Airport,US-TN
Goodland,GLD,,Goodland Municipal Airport,US-KS
Gainesville,GLE,,Gainesville Municipal Airport,US-TX
Greenville,GLH,,Mid Delta Regional Airport,US-MS
Gaylord,GLR,,Gaylord Regional Airport,US-MI
Galveston,GLS,,Scholes International At Galveston Airport,US-TX
Glasgow,GLW,,Glasgow Municipal Airport,US-KY
Greenville,GMU,,Greenville Downtown Airport,US-SC
Gooding,GNG,,Gooding Municipal Airport,US-ID
Grants,GNT,,Grants-Milan Municipal Airport,US-NM
Gainesville,GNV,,Gainesville Regional Airport,US-FL
Guthrie,GOK,,Guthrie-Edmond Regional Airport,US-OK
Groton,GON,,Groton New London Airport,US-CT
Kalispell,FCA,,Glacier Park International Airport,US-MT
Gulfport,GPT,,Gulfport Biloxi International Airport,US-MS
Grand Rapids,GPZ,,Grand Rapids Itasca Co-Gordon Newstrom field,US-MN
Galion,GQQ,,Galion Municipal Airport,US-OH
Green Bay,GRB,,Austin Straubel International Airport,US-WI
Greenwood,GRD,,Greenwood County Airport,US-SC
Greenville,GRE,,Greenville Airport,US-IL
Fort Lewis/Tacoma,GRF,,Gray Army Air Field,US-WA
Grand Island,GRI,,Central Nebraska Regional Airport,US-NE
Fort Cavazos,GRK,,Killeen Regional Airport / Robert Gray Army Airfield,US-TX
Gordon,GRN,,Gordon Municipal Airport,US-NE
Grand Rapids,GRR,,Gerald R. Ford International Airport,US-MI
Goldsboro,GSB,,Seymour Johnson Air Force Base,US-NC
Goshen,GSH,,Goshen Municipal Airport,US-IN
Greensboro,GSO,,Piedmont Triad International Airport,US-NC
Greer,GSP,,Greenville Spartanburg International Airport,US-SC
Great Falls,GTF,,Great Falls International Airport,US-MT
Grantsburg,GTG,,Grantsburg Municipal Airport,US-WI
Columbus/W Point/Starkville,GTR,,Golden Triangle Regional Airport,US-MS
Gunnison,GUC,,Gunnison Crested Butte Regional Airport,US-CO
Gallup,GUP,,Gallup Municipal Airport,US-NM
Peru,GUS,,Grissom Air Reserve Base,US-IN
Guymon,GUY,,Guymon Municipal Airport,US-OK
Gainesville,GVL,,Lee Gilmer Memorial Airport,US-GA
Greenville,GVT,,Majors Airport,US-TX
Kagi,KGW,,Kagi Airport,PG-CPM
Greenwood,GWO,,Greenwood–Leflore Airport,US-MS
Glenwood Springs,GWS,,Glenwood Springs Municipal Airport,US-CO
Grayling,KGX,,Grayling Airport,US-AK
Greeley,GXY,,Greeley–Weld County Airport,US-CO
Greenville,GDC,,Donaldson Field Airport,US-SC
Denison,PNX,,North Texas Regional Airport Perrin Field,US-TX
