municipality,iata_code,,name,iso_region
Adak,ADK,,Adak Airport,US-AK
Dillingham,DLG,,Dillingham Airport,US-AK
Marshall,MLL,,Marshall Don Hunter Sr Airport,US-AK
Kodiak,ADQ,,Kodiak Airport,US-AK
Unalaska,DUT,,Tom Madsen (Dutch Harbor) Airport,US-AK
Kongiganak,KKH,,Kongiganak Airport,US-AK
Anchorage,EDF,,Elmendorf Air Force Base,US-AK
Eek,EEK,,Eek Airport,US-AK
Eagle,EAA,,Eagle Airport,US-AK
Cape Newenham,EHM,,Cape Newenham LRRS Airport,US-AK
Fairbanks,EIL,,Eielson Air Force Base,US-AK
Elfin Cove,ELV,,Elfin Cove Seaplane Base,US-AK
Emmonak,EMK,,Emmonak Airport,US-AK
Kenai,ENA,,Kenai Municipal Airport,US-AK
Fairbanks,FAI,,Fairbanks International Airport,US-AK
Fairbanks,FBK,,Ladd Army Airfield,US-AK
Ambler,ABL,,Ambler Airport,US-AK
Fort Richardson,FRN,,Bryant Army Airfield,US-AK
Nikolai,NIB,,Nikolai Airport,US-AK
Farewell,FWL,,Farewell Airport,US-AK
Galena,GAL,,Edward G. Pitka Sr Airport,US-AK
Galbraith Lake,GBH,,Galbraith Lake Airport,US-AK
Kwigillingok,KWK,,Kwigillingok Airport,US-AK
Shungnak,SHG,,Shungnak Airport,US-AK
Gulkana,GKN,,Gulkana Airport,US-AK
Golovin,GLV,,Golovin Airport,US-AK
Gambell,GAM,,Gambell Airport,US-AK
Angoon,AGN,,Angoon Seaplane Base,US-AK
Big Lake,BGQ,,Big Lake Airport,US-AK
Gustavus,GST,,Gustavus Airport,US-AK
Nightmute,NME,,Nightmute Airport,US-AK
Skagway,SGY,,Skagway Airport,US-AK
Holy Cross,HCR,,Holy Cross Airport,US-AK
Huslia,HSL,,Huslia Airport,US-AK
Haines,HNS,,Haines Airport,US-AK
Homer,HOM,,Homer Airport,US-AK
Hooper Bay,HPB,,Hooper Bay Airport,US-AK
Hughes,HUS,,Hughes Airport,US-AK
Shageluk,SHX,,Shageluk Airport,US-AK
Hydaburg,HYG,,Hydaburg Seaplane Base,US-AK
Igiugig,IGG,,Igiugig Airport,US-AK
Egegik,EGX,,Egegik Airport,US-AK
Kiana,IAN,,Bob Baker Memorial Airport,US-AK
Iliamna,ILI,,Iliamna Airport,US-AK
Utopia Creek,UTO,,Indian Mountain LRRS Airport,US-AK
Denali Park,MCL,,Denali National Park Airport,US-AK
Wales,WAA,,Wales Airport,US-AK
Chignik,KCG,,Chignik Airport,US-AK
Juneau,JNU,,Juneau International Airport,US-AK
Koliganek,KGK,,Koliganek Airport,US-AK
Kodiak,KDK,,Kodiak Municipal Airport,US-AK
False Pass,KFP,,False Pass Airport,US-AK
Akhiok,AKK,,Akhiok Airport,US-AK
Kipnuk,KPN,,Kipnuk Airport,US-AK
Koyuk,KKA,,Koyuk Alfred Adams Airport,US-AK
Kulik Lake,LKK,,Kulik Lake Airport,US-AK
King Salmon,AKN,,King Salmon Airport,US-AK
Nikolski,IKO,,Nikolski Air Station,US-AK
Anaktuvuk Pass,AKP,,Anaktuvuk Pass Airport,US-AK
Ketchikan,KTN,,Ketchikan International Airport,US-AK
Kuparuk,UUK,,Ugnu-Kuparuk Airport,US-AK
Kaltag,KAL,,Kaltag Airport,US-AK
Klawock,KLW,,Klawock Airport,US-AK
Karluk,KYK,,Karluk Airport,US-AK
Larsen Bay,KLN,,Larsen Bay Airport,US-AK
Kalskag,KLG,,Kalskag Airport,US-AK
Chandalar Lake,WCR,,Chandalar Lake Airport,US-AK
Cape Lisburne,LUR,,Cape Lisburne LRRS Airport,US-AK
Manokotak,KMO,,Manokotak Airport,US-AK
